team,home,away
Liverpool,0.8620689655172413,0.5714285714285714
West Ham,0.3793103448275862,0.2857142857142857
Bournemouth,0.2631578947368421,0.21052631578947367
Burnley,0.4074074074074074,0.3103448275862069
Crystal Palace,0.32142857142857145,0.27586206896551724
Watford,0.3157894736842105,0.10526315789473684
Tottenham,0.5714285714285714,0.32142857142857145
Leicester,0.5517241379310345,0.5
Newcastle,0.32142857142857145,0.25
Man United,0.5,0.5517241379310345
Arsenal,0.4827586206896552,0.2857142857142857
Aston Villa,0.38461538461538464,0.25
Brighton,0.17857142857142858,0.2413793103448276
Everton,0.4444444444444444,0.39285714285714285
Norwich,0.21052631578947367,0.05263157894736842
Southampton,0.39285714285714285,0.42857142857142855
Man City,0.7586206896551724,0.5555555555555556
Sheffield United,0.3793103448275862,0.14285714285714285
Chelsea,0.5357142857142857,0.4482758620689655
Wolves,0.3793103448275862,0.35714285714285715
Fulham,0.1,0.125
West Brom,0.1111111111111111,0.1
Leeds,0.3333333333333333,0.4444444444444444
